,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,MonthlyCharges,TotalCharges,Churn
6511,Female,0,Yes,Yes,63,Yes,Yes,No,No,No,No,No,Two year,50.65,3221.25,0
4326,Male,0,No,No,1,Yes,No,No,No,No,Yes,Yes,Month-to-month,89.1,89.1,1
4961,Male,0,Yes,No,18,Yes,No,No,No,No,No,No,Month-to-month,44.35,768.05,0
1621,Female,0,No,No,35,Yes,No,No,No,No,Yes,No,Month-to-month,86.45,3029.1,1
2908,Male,0,Yes,No,18,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,99.4,1742.95,1
1663,Male,0,Yes,No,51,Yes,No,No,No,No,Yes,Yes,Month-to-month,94.65,4812.75,1
3128,Male,0,No,Yes,5,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.35,122.0,0
1288,Male,0,No,No,64,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.55,1240.15,0
2457,Male,1,Yes,No,57,Yes,No,Yes,Yes,No,Yes,No,One year,90.65,5199.8,0
133,Male,0,No,No,1,No,No,No,No,No,No,Yes,Month-to-month,35.45,35.45,1
6766,Male,0,Yes,Yes,14,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.75,309.35,0
5086,Male,0,No,No,45,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.4,930.45,1
5398,Male,0,No,No,2,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.75,39.3,0
3987,Female,0,No,No,11,Yes,No,No,No,No,No,No,Month-to-month,76.5,837.95,1
6012,Female,0,Yes,Yes,5,Yes,No,Yes,No,No,No,Yes,Month-to-month,83.6,404.2,1
6949,Male,0,Yes,Yes,32,No,No,No,Yes,Yes,No,No,One year,36.25,1151.05,0
156,Female,0,No,No,22,Yes,No,No,No,No,Yes,No,Month-to-month,84.15,1821.95,0
1175,Female,0,No,No,13,Yes,Yes,No,No,No,No,No,Month-to-month,80.0,1029.35,0
859,Male,0,Yes,Yes,72,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,64.8,4719.75,0
5583,Female,1,Yes,No,26,Yes,No,Yes,No,No,No,Yes,Month-to-month,84.95,2169.75,1
4435,Male,0,Yes,No,17,Yes,No,Yes,No,No,No,No,Month-to-month,80.5,1336.9,0
5371,Female,0,No,No,54,Yes,Yes,No,Yes,No,Yes,Yes,One year,103.95,5639.05,1
3945,Female,0,No,No,3,No,Yes,No,No,Yes,No,No,Month-to-month,34.25,139.35,1
1734,Male,0,No,No,9,No,No,No,No,No,Yes,Yes,Month-to-month,45.4,418.8,1
1289,Male,0,No,No,63,Yes,Yes,Yes,Yes,Yes,No,No,One year,68.8,4111.35,0
4835,Male,0,Yes,No,65,Yes,Yes,No,Yes,No,Yes,Yes,Month-to-month,104.25,6812.95,0
2141,Male,0,Yes,Yes,16,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.15,341.35,0
4132,Female,0,No,No,13,No,No,No,No,No,No,No,Month-to-month,23.9,300.8,1
317,Female,0,Yes,Yes,38,Yes,Yes,Yes,No,Yes,Yes,Yes,One year,80.3,3058.65,1
1658,Male,0,Yes,Yes,50,Yes,Yes,No,Yes,No,Yes,Yes,Month-to-month,105.95,5341.8,1
4751,Male,0,No,No,11,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,23.15,245.2,1
2016,Female,0,No,No,10,Yes,No,No,No,No,No,Yes,Month-to-month,86.45,830.85,1
722,Female,0,Yes,Yes,4,Yes,No,No,No,No,No,Yes,Month-to-month,85.95,381.3,1
5030,Male,0,No,Yes,6,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,94.5,575.45,1
5630,Female,0,No,No,39,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,103.45,3994.45,1
1890,Female,0,Yes,Yes,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,21.0,21.0,1
1065,Female,0,No,No,23,Yes,Yes,No,No,No,Yes,No,Month-to-month,90.05,2169.8,1
289,Male,0,No,No,10,Yes,No,No,No,No,No,No,Month-to-month,44.85,435.4,1
2163,Male,1,Yes,No,29,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,98.5,3004.15,1
1330,Male,0,Yes,No,22,Yes,Yes,No,No,Yes,No,No,One year,56.25,1292.2,0
5183,Female,1,Yes,Yes,34,Yes,No,Yes,No,No,No,No,Month-to-month,79.6,2718.3,1
6204,Male,0,No,No,13,No,No,No,No,No,No,No,Month-to-month,25.15,331.85,0
2875,Male,0,Yes,No,22,Yes,No,No,No,No,No,Yes,Month-to-month,85.1,1873.7,1
5190,Male,1,Yes,Yes,29,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,103.95,2964.8,0
31,Male,1,Yes,No,2,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,95.5,181.65,0
4058,Female,0,Yes,Yes,40,Yes,No,No,Yes,Yes,No,No,Month-to-month,84.85,3303.05,1
1543,Female,0,Yes,No,5,Yes,No,No,No,No,No,No,Month-to-month,69.95,330.15,1
611,Female,0,Yes,Yes,9,Yes,Yes,Yes,Yes,Yes,No,No,Month-to-month,65.0,663.05,1
203,Male,0,No,Yes,13,Yes,No,No,No,No,Yes,No,Month-to-month,78.3,1033.95,0
2602,Female,0,Yes,Yes,64,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,111.45,7266.95,0
1578,Female,0,No,No,7,Yes,No,No,No,Yes,Yes,No,Month-to-month,59.5,415.95,1
2673,Male,0,No,No,22,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,101.35,2317.1,1
1498,Male,1,No,No,15,Yes,No,No,No,No,No,No,Month-to-month,75.65,1146.65,1
5438,Male,0,Yes,No,9,Yes,No,Yes,Yes,No,No,No,Month-to-month,79.9,741.7,1
126,Female,1,No,No,27,Yes,No,No,Yes,No,No,No,Month-to-month,78.05,2135.5,1
5506,Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.2,20.2,0
385,Male,1,Yes,No,11,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.95,214.75,1
3608,Male,0,No,No,39,Yes,No,No,No,No,No,No,Month-to-month,75.25,3017.65,1
3926,Male,0,No,No,11,No,No,Yes,Yes,No,No,No,Month-to-month,34.7,383.55,0
3455,Male,0,No,No,1,Yes,No,No,No,No,Yes,Yes,Month-to-month,90.55,90.55,1
346,Female,0,No,No,2,Yes,No,No,No,No,Yes,Yes,Month-to-month,90.4,168.2,1
1334,Female,1,No,No,1,No,No,No,No,No,No,No,Month-to-month,25.2,25.2,1
1982,Male,0,No,Yes,14,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.95,268.4,0
5655,Male,0,No,No,65,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,25.1,1725.0,0
2616,Male,0,Yes,Yes,6,Yes,No,No,No,No,No,No,Month-to-month,44.6,260.8,1
6222,Male,0,No,No,66,Yes,No,Yes,No,No,No,Yes,Month-to-month,89.4,5976.9,0
1072,Male,0,No,No,22,No,No,No,Yes,Yes,Yes,Yes,Two year,56.75,1304.85,0
996,Female,0,No,No,34,Yes,No,No,No,No,No,No,Month-to-month,70.0,2416.1,1
3699,Female,0,Yes,No,30,Yes,No,Yes,Yes,Yes,No,Yes,One year,70.25,2198.9,0
704,Male,0,No,No,4,Yes,No,Yes,No,No,No,No,Month-to-month,49.25,208.45,0
3042,Male,0,No,No,46,No,No,Yes,No,No,No,No,Month-to-month,30.3,1380.1,1
6103,Male,0,No,No,16,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.75,294.9,0
6003,Female,0,Yes,No,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,93.2,6506.15,0
5540,Female,0,Yes,Yes,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.55,20.55,1
1253,Female,0,No,No,7,Yes,No,No,No,No,No,Yes,Month-to-month,79.3,523.15,1
4398,Male,0,Yes,Yes,70,Yes,Yes,No,Yes,No,Yes,No,Two year,68.95,4858.7,0
882,Female,0,No,No,6,Yes,No,No,Yes,No,No,Yes,Month-to-month,83.9,497.55,1
1518,Female,0,No,No,5,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.55,96.1,0
2960,Male,0,No,No,22,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,100.75,2095.0,1
1492,Male,1,No,No,19,Yes,No,Yes,No,No,Yes,No,Month-to-month,88.2,1775.8,1
205,Female,0,No,No,33,Yes,No,Yes,No,Yes,No,No,One year,79.95,2684.85,0
2866,Female,0,No,No,12,Yes,No,Yes,No,No,No,Yes,Month-to-month,84.6,1017.35,0
6758,Male,0,No,No,27,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.4,460.25,0
2606,Female,0,No,No,31,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,104.35,3205.6,0
2808,Male,0,Yes,Yes,2,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,97.1,184.15,0
3807,Male,0,Yes,No,24,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,104.65,2542.45,1
6033,Male,1,No,No,25,Yes,No,Yes,No,No,Yes,No,Month-to-month,88.95,2291.2,1
4444,Female,0,No,No,3,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.85,63.75,1
5468,Female,0,No,No,7,Yes,No,No,No,No,Yes,No,Month-to-month,79.7,586.05,1
1958,Male,0,No,No,24,Yes,No,Yes,Yes,No,No,No,Month-to-month,84.85,2048.8,0
4690,Male,0,Yes,No,31,Yes,No,No,Yes,Yes,No,Yes,Month-to-month,66.4,2019.8,0
4085,Female,0,No,No,30,No,No,No,No,Yes,No,Yes,One year,40.35,1187.05,0
922,Male,0,Yes,No,16,Yes,No,No,No,No,No,No,Month-to-month,75.4,1189.4,0
6146,Female,0,No,No,25,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,99.5,2369.05,1
674,Male,1,No,No,52,No,No,Yes,No,No,Yes,Yes,Month-to-month,49.15,2550.9,1
478,Male,0,No,No,5,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,96.1,453.4,1
4562,Female,0,Yes,Yes,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,114.6,8100.25,0
6813,Female,0,Yes,No,64,No,Yes,No,Yes,Yes,No,Yes,Two year,47.85,3147.5,1
3877,Female,0,Yes,Yes,21,No,Yes,No,Yes,No,Yes,Yes,One year,55.95,1157.05,1
4488,Female,1,Yes,No,42,Yes,Yes,No,No,No,No,No,Month-to-month,74.15,3229.4,1
5381,Male,0,Yes,No,32,Yes,No,No,Yes,No,No,No,Month-to-month,78.9,2447.95,1
4240,Male,0,No,No,8,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,94.0,773.65,1
5379,Female,0,Yes,No,56,Yes,Yes,No,No,No,Yes,Yes,One year,98.0,5270.6,0
6471,Male,0,Yes,Yes,18,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.05,345.9,0
1909,Male,0,Yes,Yes,7,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.65,150.0,0
2303,Male,0,No,No,2,Yes,Yes,No,No,No,No,No,Month-to-month,47.8,92.45,1
4815,Male,0,No,No,38,Yes,No,No,No,No,No,No,One year,70.45,2597.6,1
5783,Female,1,No,No,1,Yes,No,No,No,No,Yes,Yes,Month-to-month,89.3,89.3,1
6942,Male,1,No,No,68,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.0,1396.0,0
3040,Male,0,Yes,No,71,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,108.6,7690.9,1
243,Female,1,Yes,No,65,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-month,94.4,6126.15,0
1549,Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,45.85,45.85,1
5050,Male,0,Yes,No,66,Yes,Yes,No,Yes,No,Yes,Yes,Two year,106.05,6981.35,1
5105,Female,1,Yes,No,40,Yes,No,Yes,No,Yes,Yes,Yes,One year,99.2,4062.2,1
581,Female,0,No,No,1,Yes,Yes,No,No,No,No,No,Month-to-month,75.3,75.3,1
5277,Female,0,No,No,6,Yes,No,No,No,No,Yes,Yes,Month-to-month,89.3,577.6,1
1432,Male,0,No,No,35,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.75,739.9,0
1463,Female,0,No,No,4,Yes,No,No,No,No,No,No,Month-to-month,70.4,281.0,1
3383,Male,0,Yes,No,6,Yes,No,No,No,No,No,No,Month-to-month,75.5,438.0,1
1023,Female,1,Yes,No,45,Yes,No,No,Yes,No,No,Yes,Month-to-month,86.1,3861.45,0
4949,Male,0,No,No,5,No,No,Yes,No,No,Yes,Yes,Month-to-month,51.0,305.95,1
3310,Female,1,No,No,1,Yes,No,No,No,No,Yes,No,Month-to-month,78.45,78.45,1
6573,Female,0,Yes,Yes,45,No,No,Yes,Yes,Yes,No,Yes,One year,51.0,2264.5,0
2367,Female,0,No,No,1,Yes,No,No,Yes,No,Yes,No,Month-to-month,85.55,85.55,1
4446,Male,1,No,No,3,Yes,No,No,No,No,Yes,No,Month-to-month,79.9,260.9,1
313,Female,1,Yes,No,5,Yes,No,No,No,No,No,No,Month-to-month,69.35,341.6,0
2684,Male,0,No,No,69,Yes,No,Yes,No,Yes,Yes,Yes,One year,105.2,7386.05,0
207,Male,0,No,No,1,Yes,No,No,No,No,No,Yes,Month-to-month,79.9,79.9,1
3406,Female,0,No,No,31,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.95,683.25,0
2576,Female,0,Yes,Yes,53,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,108.25,5935.1,0
1879,Male,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,70.05,70.05,1
4910,Female,0,No,No,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,85.35,2530.4,1
1413,Male,0,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,No,No,Two year,94.55,6078.75,0
4487,Male,0,Yes,Yes,4,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,24.1,73.1,0
6660,Male,0,Yes,No,1,Yes,No,No,No,No,No,No,Month-to-month,69.15,69.15,1
2940,Male,1,No,No,53,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,54.45,2854.55,1
5099,Female,0,No,Yes,11,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.1,221.35,1
4740,Male,1,Yes,No,24,No,Yes,No,No,No,No,Yes,Month-to-month,39.1,971.3,1
5353,Male,0,No,No,21,Yes,No,No,Yes,No,No,Yes,Month-to-month,61.65,1393.6,0
4993,Male,0,Yes,Yes,72,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,65.65,4664.5,0
1143,Male,0,Yes,No,18,Yes,No,Yes,No,No,No,No,Month-to-month,56.8,1074.65,0
3606,Female,0,Yes,No,70,Yes,No,No,Yes,No,Yes,Yes,One year,101.75,7069.3,0
4393,Female,0,Yes,No,21,Yes,No,No,No,No,No,Yes,Month-to-month,86.5,1808.7,1
1696,Male,0,No,No,3,Yes,No,No,No,No,No,Yes,Month-to-month,85.3,264.8,1
4453,Male,0,Yes,No,10,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,98.5,1037.75,1
1218,Male,0,No,No,24,Yes,No,Yes,No,No,Yes,No,Month-to-month,90.55,2282.55,1
4204,Male,1,No,No,5,Yes,No,Yes,No,No,No,Yes,Month-to-month,85.55,408.5,0
6177,Male,0,No,No,4,Yes,No,No,No,No,No,Yes,Month-to-month,54.3,195.3,1
4783,Female,1,Yes,Yes,71,Yes,Yes,Yes,No,No,Yes,No,One year,69.2,4982.5,0
5257,Male,1,No,No,37,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,101.1,3744.05,1
4568,Male,0,No,No,26,Yes,No,Yes,Yes,Yes,No,No,One year,85.2,2184.6,0
6065,Male,0,No,No,59,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,25.0,1510.5,0
4078,Male,0,Yes,Yes,22,Yes,Yes,No,Yes,Yes,Yes,No,One year,67.5,1544.05,1
526,Male,1,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,115.75,8399.15,0
5462,Male,0,Yes,No,64,Yes,No,Yes,No,Yes,No,Yes,One year,70.15,4480.7,0
6227,Male,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,46.05,80.35,1
4133,Male,0,No,No,56,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,98.6,5581.05,0
6800,Female,0,Yes,No,14,Yes,Yes,Yes,No,Yes,Yes,Yes,One year,105.95,1348.9,1
683,Female,1,No,No,40,Yes,No,No,Yes,Yes,Yes,Yes,One year,103.75,4188.4,0
6839,Female,0,No,No,11,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,100.75,1129.75,1
4314,Male,1,No,No,24,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,101.25,2440.15,1
3076,Female,0,No,No,6,Yes,Yes,Yes,No,No,No,No,Month-to-month,56.25,389.1,1
5107,Female,0,Yes,No,47,Yes,No,Yes,No,No,Yes,No,Month-to-month,58.6,2723.4,0
6188,Male,0,No,No,18,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.05,358.5,0
3443,Male,1,Yes,No,40,Yes,Yes,Yes,Yes,Yes,Yes,No,One year,98.15,4116.8,0
6135,Male,0,Yes,Yes,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,114.0,8175.9,0
1602,Male,0,No,No,30,Yes,No,No,No,No,Yes,Yes,Month-to-month,90.25,2755.35,1
1494,Female,0,Yes,Yes,8,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.75,145.0,1
3755,Male,0,No,No,4,Yes,No,No,No,No,No,No,Month-to-month,76.05,318.9,1
3845,Male,0,No,No,4,Yes,No,No,Yes,No,No,No,Month-to-month,73.9,280.85,1
2701,Female,0,Yes,Yes,61,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.1,1143.8,0
6016,Male,0,No,No,68,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,108.45,7176.55,1
5036,Female,1,Yes,No,16,Yes,No,No,No,No,No,Yes,Month-to-month,85.35,1375.15,1
2655,Female,0,No,Yes,4,Yes,No,Yes,No,No,Yes,No,Month-to-month,89.6,365.65,1
3359,Male,0,No,No,21,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.95,416.4,0
5762,Male,1,Yes,No,30,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,105.7,3181.8,0
5076,Female,0,Yes,Yes,33,Yes,No,No,Yes,No,Yes,Yes,One year,93.8,3124.5,1
4214,Male,0,No,No,4,Yes,No,Yes,No,No,No,Yes,Month-to-month,90.05,368.1,1
1987,Female,0,Yes,Yes,25,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,89.15,2257.75,1
4734,Male,0,Yes,Yes,39,Yes,Yes,No,Yes,Yes,Yes,Yes,One year,80.0,3182.95,1
1999,Male,0,No,No,23,Yes,No,No,No,No,No,No,Month-to-month,74.95,1710.45,1
3166,Male,0,Yes,No,14,Yes,No,No,No,Yes,No,No,Month-to-month,48.8,664.4,0
2976,Male,0,No,Yes,19,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,24.1,439.2,0
6789,Female,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.2,20.2,1
5293,Male,0,No,No,33,Yes,Yes,No,No,No,No,No,One year,80.1,2603.3,0
6538,Male,0,No,No,2,Yes,No,No,Yes,Yes,No,No,Month-to-month,79.85,152.45,1
6224,Male,0,Yes,Yes,51,Yes,No,Yes,No,Yes,No,No,One year,84.2,4299.75,0
6648,Female,0,Yes,Yes,20,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.05,406.05,0
3287,Male,0,Yes,Yes,19,Yes,No,No,No,Yes,Yes,Yes,One year,100.95,1875.55,1
6852,Male,0,Yes,Yes,44,Yes,No,Yes,Yes,Yes,No,No,Month-to-month,61.9,2924.05,0
3638,Female,1,Yes,No,2,Yes,No,Yes,No,No,No,No,Month-to-month,50.15,115.1,1
3341,Female,1,No,No,49,Yes,No,No,No,No,No,No,Month-to-month,43.8,2106.05,0
18,Female,0,Yes,Yes,10,Yes,No,No,Yes,Yes,No,No,Month-to-month,55.2,528.35,1
6579,Male,0,No,No,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,84.3,5997.1,0
6516,Male,0,No,Yes,1,Yes,No,No,Yes,No,No,No,Month-to-month,48.95,48.95,1
4065,Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.75,19.75,1
3505,Male,0,No,No,9,No,No,No,No,No,No,No,Month-to-month,24.95,190.25,0
4850,Female,0,No,No,54,Yes,Yes,Yes,No,No,Yes,Yes,One year,100.05,5299.65,0
917,Male,0,No,No,72,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,65.55,4807.45,0
2502,Female,0,No,No,70,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,26.05,1856.4,0
950,Male,1,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,44.95,85.15,1
2648,Male,0,No,No,35,Yes,Yes,No,Yes,No,No,No,Month-to-month,59.6,2094.9,0
6277,Male,0,No,No,2,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.35,33.2,1
4241,Female,0,Yes,Yes,22,Yes,Yes,Yes,Yes,No,No,No,Month-to-month,61.15,1422.05,1
4848,Female,0,No,No,5,Yes,No,No,No,No,Yes,Yes,Month-to-month,93.9,486.85,1
1148,Female,0,No,No,2,Yes,No,No,No,No,Yes,Yes,Month-to-month,95.15,196.9,1
1139,Male,1,Yes,No,14,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.65,228.65,0
6489,Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,18.85,18.85,1
1970,Female,0,Yes,No,7,Yes,No,No,No,No,Yes,No,Month-to-month,81.1,576.65,1
3785,Male,1,Yes,No,10,Yes,No,No,Yes,No,No,Yes,Month-to-month,89.8,914.3,1
2505,Female,0,Yes,Yes,34,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.1,682.1,0
409,Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.6,19.6,1
