country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Singapore,96.18604279,96.36978912,96.54801941,96.71669006,96.82549286,97.04956055,97.2022171,97.34485626,97.47958374,,
Solomon Islands,,,,,,,,,,,
Sierra Leone,,,32.42617035,,,,,43.20632935,,,
El Salvador,85.49398804,,86.76757813,,87.96984863,88.14176941,88.48271179,89.00859833,89.13791656,,
San Marino,,,,,,,,,,,
Somalia,,,,,,,,,,,
Serbia,97.96240997,,,,,98.84150696,,,99.48252869,,
Sub-Saharan Africa (excluding high income),60.24391174,61.37615967,62.24433899,62.89559174,63.49285889,64.20291138,64.46804047,64.99101257,65.42196655,65.81336975,
South Sudan,,,,,,,,34.52275848,,,
Sub-Saharan Africa,60.3055191,61.43904877,62.30361176,62.95409012,63.54935837,64.25765991,64.51748657,65.03897858,65.46861267,65.85871887,
Small states,84.53431702,84.7060318,85.03681946,85.36804199,86.4052124,86.35237122,86.51476288,86.69132233,86.90550232,87.10610962,
Sao Tome and Principe,,90.14309692,,,,,,92.81664276,,,
Suriname,,92.86865997,,,,,,94.38327026,,,
Slovak Republic,,,,,,,,,,,
Slovenia,,,,99.69999695,,,,,,,
Sweden,,,,,,,,,,,
Eswatini,,,,,,,,88.41938019,,,
Sint Maarten (Dutch part),,,,,,,,,,,
Seychelles,,,,,,,,95.8677063,,,
Syrian Arab Republic,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,
Chad,,,,,26.00299072,22.31155014,,,,,
East Asia & Pacific (IDA & IBRD countries),94.38781738,94.61257935,94.71494293,95.13671112,95.35286713,95.48483276,95.6769104,95.82859802,95.97810364,96.12631989,
Europe & Central Asia (IDA & IBRD countries),98.64798737,98.76374054,98.80722046,98.83760071,98.86424255,98.96904755,98.948349,98.9805069,99.01315308,99.04428101,
Togo,60.40993881,,,,63.74562073,,,,66.53707886,,
Thailand,,,93.70207214,,92.86830902,,,93.76776123,,,
Tajikistan,,,,99.80000305,,,,,,,
Turkmenistan,,,,99.69999695,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),92.06757355,92.29743958,92.34657288,92.80142212,92.9957962,93.47264099,93.59078217,93.7561264,94.19448853,94.35630798,
Timor-Leste,,,,,,,,68.0668335,,,
Middle East & North Africa (IDA & IBRD countries),74.29205322,77.31735229,76.93566895,78.60375977,76.40354156,77.60456848,78.83197784,75.72257996,76.09990692,76.47659302,
Tonga,99.38552856,,,,,,,99.41436768,,,
South Asia (IDA & IBRD),66.51319122,67.26777649,68.0131073,68.73478699,69.65734863,70.9991684,71.69515228,72.24388123,72.95144653,73.65451813,
Sub-Saharan Africa (IDA & IBRD countries),60.3055191,61.43904877,62.30361176,62.95409012,63.54935837,64.25765991,64.51748657,65.03897858,65.46861267,65.85871887,
Trinidad and Tobago,,,,,,,,,,,
Tunisia,79.65390778,80.21875,,79.03643036,,,,,,,
Turkey,94.10608673,94.9197464,95.25666046,95.4396286,95.60141754,96.16732788,96.15052795,,96.74221039,,
Tuvalu,,,,,,,,,,,
Tanzania,,78.10059357,,,77.88722992,,,,,,
Uganda,,70.1982193,,,,,,76.52749634,,,
Ukraine,,99.97434998,,,,,,,,,
Upper middle income,94.37332916,94.78501129,94.84181976,95.25861359,95.099617,95.62375641,95.67085266,95.45144653,95.64833832,95.79682159,
Uruguay,98.33589935,98.39594269,98.36386871,98.43592834,98.52387238,98.56147003,98.61572266,98.70385742,98.7703476,,
United States,,,,,,,,,,,
Uzbekistan,,,99.99485779,99.98055267,99.98383331,99.98657227,,99.9928894,99.99994659,,
St. Vincent and the Grenadines,,,,,,,,,,,
"Venezuela, RB",94.7702179,,,,96.60521698,97.12709045,,,,,
British Virgin Islands,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,
Vietnam,,,,,,,,,95.7538681,,
Vanuatu,,,,84.69999695,,,,87.50630951,,,
World,84.2837677,84.72968292,84.93171692,85.36060333,85.54232025,85.98551178,86.22016144,86.24694061,86.478302,86.68221283,
Samoa,98.97325897,,,,,,,99.09577179,,,
Kosovo,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,
South Africa,93.10214233,93.7294693,,94.13990021,94.36791992,,87.04666901,,95.02297211,,
Zambia,,,,,,,,86.74796295,,,
Zimbabwe,83.58271027,,,88.69342041,,,,,,,
